coût total employeur,salaire brut,rémunération avant impôt,rémunération après impôt
5073.999512690846,3739.3822787673844,2938.1456634165647,2670
5097.764854790621,3756.9659170074738,2952.0648274883238,2680
5121.388870065783,3774.4449895422936,2965.9012176092056,2690
5145.036551167434,3791.9415720851707,2979.7514686086906,2700
5168.779250434051,3809.508457215404,2993.657370960571,2710
5192.605785527089,3827.1373712799204,3007.612375261757,2720
5216.143905772884,3844.5528913055164,3021.3984573752186,2730
5257.331045357638,3869.0184846962043,3035.408454028614,2740
5280.631771405231,3886.243067066761,3049.224248486581,2750
5304.132567347586,3903.6155469910295,3063.1586712026374,2760
5327.456523889257,3920.857302026418,3076.988239812135,2770
5350.957593125862,3938.2299839778398,3090.9228245736654,2780
5374.282187230237,3955.472210318339,3104.7527712158135,2790
5397.783456841391,3972.845040392524,3118.687474786242,2800
5421.10724214627,3990.0866688446363,3132.5169418636106,2810
5444.6086220217785,4007.459580429477,3146.4517108135324,2820
5467.934483154582,4024.7027433946764,3160.2824087200115,2830
5491.635800735148,4042.2234548147107,3174.335727548242,2840
5514.880459072705,4059.4065902840894,3188.118277550392,2850
5538.1842111171245,4076.633409560546,3201.93586622499,2860
5561.906642260095,4094.1697287472243,3216.001704003827,2870
5585.012714206164,4111.250417077799,3229.70208141206,2880
5608.6357708158075,4128.713275685123,3243.708996643848,2890
5632.026698742475,4146.004537939083,3257.5782748695938,2900
5655.362524965707,4163.255067392373,3271.4148814177543,2910
5678.7522885402395,4180.545468922972,3285.2834692594433,2920
5702.282809819002,4197.939922690649,3299.235517140363,2930
5725.62134050621,4215.192451363294,3313.0737272573697,2940
5749.009347088469,4232.481554073501,3326.94127331847,2950
5772.537968467577,4249.874603379444,3340.8921946841438,2960
5795.924725907193,4267.16278268665,3354.759000086005,2970
5819.310875235978,4284.450512460435,3368.6254449182334,2980
5842.641824034652,4301.697436377962,3382.459159475172,2990
5865.9771287542335,4318.947580320407,3396.2954568060477,3000
5889.3615394847075,4336.234024871158,3410.1608707640935,3010
5912.886272330035,4353.624199658502,3424.1094864855854,3020
6198.523995601282,4370.909705541834,3437.9741475408414,3030
