,coût total employeur,salaire brut,rémunération avant impôt,rémunération après impôt,cout marginal employeur,net apres impots marginal,tx prelevement marginal,revenu net imposable,tx prelevement total
282,5491.635800735148,4042.2234548147107,3174.335727548242,2840,23.701317580565956,10.0,0.5780825278591447,34282.82585752102,0.4828499006398389
283,5514.880459072705,4059.4065902840894,3188.118277550392,2850,23.244658337556757,10.0,0.5697936336692528,34431.67739754424,0.4832163596018887
284,5538.1842111171245,4076.633409560546,3201.93586622499,2860,23.303752044419525,10.0,0.5708845519408678,34580.907355229894,0.4835852526792169
285,5561.906642260095,4094.1697287472243,3216.001704003827,2870,23.72243114297089,10.0,0.5784580450573649,34732.818403241334,0.4839899004788458
286,5585.012714206164,4111.250417077799,3229.70208141206,2880,23.10607194606837,10.0,0.5672133271574289,34880.78247925025,0.48433420882384615
287,5608.6357708158075,4128.713275685123,3243.708996643848,2890,23.623056609643754,10.0,0.5766847548459224,35032.05716375356,0.4847231808066521
288,5632.026698742475,4146.004537939083,3257.5782748695938,2900,23.390927926667246,10.0,0.5724838265779392,35181.84536859162,0.4850876682371702
289,5655.362524965707,4163.255067392373,3271.4148814177543,2910,23.33582622323229,10.0,0.5714743543108678,35331.28071931175,0.4854441272060369
290,5678.7522885402395,4180.545468922972,3285.2834692594433,2920,23.38976357453248,10.0,0.5724625446454569,35481.061468001986,0.48580254048189786
291,5702.282809819002,4197.939922690649,3299.235517140363,2930,23.530521278762535,10.0,0.5750200396526916,35631.74358511592,0.4861706972942996
292,5725.62134050621,4215.192451363294,3313.0737272573697,2940,23.33853068720782,10.0,0.571524011771609,35781.196254379596,0.4865186107923668
293,5749.009347088469,4232.481554073501,3326.94127331847,2950,23.38800658225955,10.0,0.5724304264739999,35930.96575183948,0.48686811554863807
294,5772.537968467577,4249.874603379444,3340.8921946841438,2960,23.52862137910779,10.0,0.5749857231805563,36081.635702588756,0.48722727920215225
295,5795.924725907193,4267.16278268665,3354.759000086005,2970,23.386757439615394,10.0,0.5724075889605476,36231.397200928855,0.4875709847085483
296,5819.310875235978,4284.450512460435,3368.6254449182334,2980,23.386149328784995,10.0,0.5723964702606498,36381.154805116916,0.4879118741221814
297,5842.641824034652,4301.697436377962,3382.459159475172,2990,23.3309487986744,10.0,0.5713847693768814,36530.55892233185,0.4882451996800229
298,5865.9771287542335,4318.947580320407,3396.2954568060477,3000,23.335304719581472,10.0,0.571464777504763,36679.990933505316,0.4885762535120701
299,5889.3615394847075,4336.234024871158,3410.1608707640935,3010,23.384410730473974,10.0,0.5723646785348218,36829.73740425221,0.4889089454230787
300,5912.886272330035,4353.624199658502,3424.1094864855854,3020,23.52473284532789,10.0,0.5749154702096418,36980.382454044324,0.4892511269610573
301,6198.523995601282,4370.909705541834,3437.9741475408414,3030,285.6377232712466,10.0,0.964990618586804,37130.12079344109,0.511173950096796
302,6222.886499987919,4388.154322027746,3451.8060113126503,3040,24.36250438663683,10.0,0.5895331678017003,37279.504922176624,0.5114807252219846
303,6247.305500512926,4405.438928418787,3465.669950887388,3050,24.419000525007505,10.0,0.590482829558933,37429.23546958379,0.5117895227391098
304,6271.87083794612,4422.8271170942835,3479.6169735535323,3060,24.565337433194145,10.0,0.5929223432328103,37579.86331437815,0.5121072995498623
305,6296.237129784706,4440.074414468632,3493.4509876592538,3070,24.366291838585312,10.0,0.5895969700172239,37729.270666719945,0.5124071827795063
306,6320.654237436753,4457.357681019248,3507.3138525513364,3080,24.41710765204698,10.0,0.5904510828021163,37878.98960755443,0.5127086715553281
307,6345.217530348528,4474.744422512336,3521.259714436089,3090,24.563292911775534,10.0,0.592888460194763,38029.60491590977,0.5130190595955386
308,6369.633303792335,4492.026744664582,3535.1218218285994,3100,24.415773443806756,10.0,0.5904287028623059,38179.315675748876,0.5133157825342425
309,6393.991203540382,4509.268101829314,3548.9510713070385,3110,24.357899748047203,10.0,0.5894555727941317,38328.67157011602,0.5136058369492316
310,6418.609604608813,4526.693850766453,3562.9282209651446,3120,24.618401068431012,10.0,0.5937997771584228,38479.62478642356,0.5139134186070893
